date,year,strategy,symbol,side,qty,entry,exit,sl,target,gross_pnl,charges,net_pnl,win,score
2026-02-27,2026,play3_vwap_pullback,RELIANCE,SELL,8,1393.9,1358.0,1444.33,1293.04,287.2,12.82,274.38,True,0.0
2026-03-02,2026,play3_vwap_pullback,RELIANCE,SELL,8,1358.0,1345.0,1411.04,1251.91,104.0,12.49,91.51,True,0.0
2026-03-02,2026,play9_gap_analysis,RELIANCE,SELL,8,1358.0,1345.0,1411.04,1251.91,104.0,12.49,91.51,True,0.0
2026-03-02,2026,play10_momentum_rank,RELIANCE,SELL,8,1358.0,1345.0,1411.04,1251.91,104.0,12.49,91.51,True,0.0
2026-03-04,2026,play10_momentum_rank,RELIANCE,SELL,8,1345.0,1389.4,1402.24,1230.51,-355.2,12.37,-367.57,False,0.0
2026-03-10,2026,play7_orb,RELIANCE,SELL,8,1408.8,1390.2,1475.3,1275.8,148.8,12.96,135.84,True,0.0
2026-03-11,2026,play7_orb,RELIANCE,SELL,8,1390.2,1392.2,1460.63,1249.34,-16.0,12.79,-28.79,False,0.0
2026-03-27,2026,play4_supertrend,RELIANCE,SELL,8,1348.1,1343.9,1413.21,1217.87,33.6,12.4,21.2,True,0.0
2026-03-27,2026,play7_orb,RELIANCE,SELL,8,1348.1,1343.9,1413.21,1217.87,33.6,12.4,21.2,True,0.0
2026-03-30,2026,play3_vwap_pullback,RELIANCE,SELL,8,1343.9,1369.2,1404.94,1221.81,-202.4,12.36,-214.76,False,0.0
2026-04-06,2026,play7_orb,RELIANCE,SELL,9,1304.7,1304.6,1367.11,1179.87,0.9,13.5,-12.6,False,0.0
2026-04-07,2026,play3_vwap_pullback,RELIANCE,SELL,9,1304.6,1347.8,1366.29,1181.23,-388.8,13.5,-402.3,False,0.0
2026-04-09,2026,play7_orb,RELIANCE,SELL,9,1330.0,1350.2,1391.2,1207.6,-181.8,13.77,-195.57,False,0.0
2026-04-13,2026,play3_vwap_pullback,RELIANCE,SELL,9,1315.1,1344.1,1373.89,1197.53,-261.0,13.61,-274.61,False,0.0
2026-04-13,2026,play9_gap_analysis,RELIANCE,SELL,9,1315.1,1344.1,1373.89,1197.53,-261.0,13.61,-274.61,False,0.0
2026-04-16,2026,play3_vwap_pullback,RELIANCE,SELL,8,1343.3,1365.0,1398.96,1231.99,-173.6,12.36,-185.96,False,0.0
2026-02-05,2026,play3_vwap_pullback,TCS,SELL,4,2991.5,2941.6,3126.73,2721.04,199.6,13.76,185.84,True,0.0
2026-02-06,2026,play3_vwap_pullback,TCS,SELL,4,2941.6,2948.2,3079.41,2665.97,-26.4,13.53,-39.93,False,0.0
2026-02-12,2026,play7_orb,TCS,SELL,4,2750.1,2692.2,2903.69,2442.93,231.6,12.65,218.95,True,0.0
2026-02-12,2026,play9_gap_analysis,TCS,SELL,4,2750.1,2692.2,2903.69,2442.93,231.6,12.65,218.95,True,0.0
2026-02-12,2026,play10_momentum_rank,TCS,SELL,4,2750.1,2692.2,2903.69,2442.93,231.6,12.65,218.95,True,0.0
2026-02-13,2026,play10_momentum_rank,TCS,SELL,4,2692.2,2706.6,2858.0,2360.6,-57.6,12.38,-69.98,False,0.0
2026-02-23,2026,play3_vwap_pullback,TCS,SELL,4,2676.3,2573.7,2833.03,2362.84,410.4,12.31,398.09,True,0.0
2026-02-24,2026,play7_orb,TCS,SELL,4,2573.7,2629.3,2723.6,2273.9,-222.4,11.84,-234.24,False,0.0
2026-02-24,2026,play9_gap_analysis,TCS,SELL,4,2573.7,2629.3,2723.6,2273.9,-222.4,11.84,-234.24,False,0.0
2026-02-24,2026,play10_momentum_rank,TCS,SELL,4,2573.7,2629.3,2723.6,2273.9,-222.4,11.84,-234.24,False,0.0
2026-02-27,2026,play7_orb,TCS,SELL,4,2637.4,2613.5,2786.13,2339.94,95.6,12.13,83.47,True,0.0
2026-03-23,2026,play3_vwap_pullback,TCS,SELL,5,2383.8,2398.8,2499.24,2152.91,-75.0,13.71,-88.71,False,0.0
